id,product,category,amount,sale_date,quantity,customer_id,store_location
1,Laptop,Electronics,1200.50,2023-01-01,1,101,"New York"
2,Smartphone,Electronics,800.00,2023-01-03,2,102,"Los Angeles"
3,Tablet,Electronics,300.00,2023-01-05,1,103,"New York"
4,Desk,Furniture,150.00,2023-01-02,3,104,Chicago
5,Chair,Furniture,85.00,2023-01-04,4,105,"Los Angeles"
6,Sofa,Furniture,500.00,2023-01-06,1,106,Chicago
7,Monitor,Electronics,200.00,2023-02-01,2,107,"New York"
8,Keyboard,Electronics,50.00,2023-02-03,1,108,"New York"
9,Mouse,Electronics,25.00,2023-02-05,3,109,"Los Angeles"
10,Bookshelf,Furniture,120.00,2023-02-07,2,110,Chicago
11,Bed,Furniture,700.00,2023-02-09,1,111,"New York"
12,"Table Lamp",Furniture,45.00,2023-02-11,4,112,"Los Angeles"
13,Shoes,Clothing,674.88,2023-03-22,3,348,Miami
14,Bed,Furniture,669.23,2023-06-24,9,173,"New York"
15,"Board Game",Toys,361.01,2023-01-23,6,145,Miami
16,Bed,Furniture,894.66,2023-02-10,5,276,Chicago
17,Shoes,Clothing,217.81,2023-03-11,3,90,"New York"
18,"Board Game",Toys,545.73,2023-02-20,8,494,Houston
19,Bookshelf,Furniture,765.48,2023-06-16,4,456,Chicago
20,"Action Figure",Toys,54.60,2023-05-09,4,414,Miami
21,"Coffee Table",Furniture,761.52,2023-04-12,6,474,"New York"
22,"Action Figure",Toys,951.41,2023-03-01,9,10,Houston
23,"Coffee Table",Furniture,799.46,2023-04-29,9,241,Houston
24,Wardrobe,Furniture,651.40,2023-05-05,5,199,Chicago
25,Sofa,Furniture,33.95,2023-04-05,6,499,Chicago
26,Wardrobe,Furniture,472.73,2023-06-04,9,403,"Los Angeles"
27,Jacket,Clothing,506.94,2023-04-21,6,429,Houston
28,"Art Book",Books,103.13,2023-06-02,10,77,Miami
29,Bed,Furniture,393.39,2023-05-03,3,22,Chicago
30,"Art Book",Books,33.05,2023-05-02,3,166,Miami
31,"Table Lamp",Furniture,984.57,2023-03-06,9,47,Miami
32,Shoes,Clothing,490.89,2023-06-26,5,119,Miami
33,"History Book",Books,451.40,2023-02-04,7,251,Houston
34,"Art Book",Books,995.22,2023-03-14,1,494,Miami
35,Laptop,Electronics,364.97,2023-03-12,9,79,"New York"
36,Jacket,Clothing,840.66,2023-02-27,1,192,Houston
37,Wardrobe,Furniture,128.88,2023-01-10,9,86,"Los Angeles"
38,"Fiction Book",Books,576.07,2023-02-24,8,11,Houston
39,"Fiction Book",Books,597.61,2023-04-22,3,318,"Los Angeles"
40,Jacket,Clothing,930.66,2023-04-15,2,410,Houston
41,Bookshelf,Furniture,680.42,2023-03-17,1,31,"New York"
42,"Table Lamp",Furniture,452.57,2023-05-12,3,114,"Los Angeles"
43,"Art Book",Books,448.18,2023-03-13,7,29,"Los Angeles"
44,Dress,Clothing,858.61,2023-06-10,9,350,Miami
45,"Coffee Table",Furniture,124.84,2023-02-12,9,156,"New York"
46,"Science Book",Books,852.81,2023-06-23,3,221,"Los Angeles"
47,"Fiction Book",Books,901.36,2023-06-20,1,162,Chicago
48,Dress,Clothing,464.31,2023-06-23,5,147,"New York"
49,"Remote Control Car",Toys,675.39,2023-05-29,2,31,Miami
50,"History Book",Books,967.77,2023-06-26,10,499,"New York"
51,Smartwatch,Electronics,865.66,2023-03-03,2,244,"New York"
52,Mouse,Electronics,262.75,2023-04-20,3,250,Houston
53,"Remote Control Car",Toys,239.04,2023-05-02,7,157,Chicago
54,Puzzle,Toys,465.03,2023-04-01,2,50,"New York"
55,Bookshelf,Furniture,906.47,2023-03-03,1,488,Miami
56,Dress,Clothing,235.88,2023-05-03,7,203,Miami
57,T-shirt,Clothing,321.31,2023-04-14,10,417,Chicago
58,"Art Book",Books,579.17,2023-02-06,3,412,"Los Angeles"
59,"Fiction Book",Books,574.50,2023-02-25,9,87,Chicago
60,Jeans,Clothing,16.04,2023-01-30,8,183,Chicago
61,Jacket,Clothing,588.79,2023-04-09,10,131,"Los Angeles"
62,Speaker,Electronics,709.31,2023-05-09,5,55,"New York"
63,"Science Book",Books,7.70,2023-02-23,5,220,Houston
64,"Art Book",Books,906.61,2023-04-13,2,473,"Los Angeles"
65,"Action Figure",Toys,209.89,2023-04-25,6,407,Chicago
66,"Non-fiction Book",Books,405.55,2023-01-16,3,394,"Los Angeles"
67,Smartphone,Electronics,520.17,2023-04-09,2,120,Houston
68,"Fiction Book",Books,415.82,2023-06-18,5,157,"Los Angeles"
69,Jacket,Clothing,291.64,2023-01-23,8,198,Houston
70,"Coffee Table",Furniture,789.68,2023-04-15,6,437,Miami
71,"Table Lamp",Furniture,490.25,2023-06-04,9,294,Chicago
72,Dresser,Furniture,259.73,2023-02-11,4,67,Chicago
73,Jacket,Clothing,650.46,2023-03-18,2,287,"Los Angeles"
74,Tablet,Electronics,896.01,2023-06-01,6,58,Miami
75,Shoes,Clothing,964.10,2023-01-01,2,278,Chicago
76,Jeans,Clothing,266.32,2023-02-05,2,199,"Los Angeles"
77,"Science Book",Books,452.57,2023-04-30,10,399,"New York"
78,Keyboard,Electronics,964.14,2023-03-04,9,70,"New York"
79,T-shirt,Clothing,82.90,2023-06-27,7,216,"New York"
80,Chair,Furniture,937.97,2023-02-01,1,410,Miami
81,"Action Figure",Toys,908.99,2023-01-13,7,433,Chicago
82,"Board Game",Toys,509.19,2023-05-23,5,397,Houston
83,Puzzle,Toys,517.57,2023-04-19,5,275,"Los Angeles"
84,"Remote Control Car",Toys,624.22,2023-03-11,1,88,Houston
85,Doll,Toys,487.75,2023-05-29,7,404,"New York"
86,Doll,Toys,961.89,2023-05-25,2,98,Houston
87,Jacket,Clothing,782.60,2023-06-19,4,466,Houston
88,Bookshelf,Furniture,172.16,2023-05-11,2,196,Houston
89,"Board Game",Toys,206.92,2023-02-28,1,41,"Los Angeles"
90,Shoes,Clothing,492.33,2023-06-12,1,248,"Los Angeles"
91,Sofa,Furniture,564.16,2023-01-02,4,348,Chicago
92,Keyboard,Electronics,607.22,2023-05-25,2,248,Miami
93,Laptop,Electronics,319.91,2023-01-10,3,154,Houston
94,Wardrobe,Furniture,278.27,2023-05-17,10,249,Houston
95,"Non-fiction Book",Books,494.12,2023-04-26,8,336,"New York"
96,Doll,Toys,449.22,2023-03-18,8,314,Houston
97,Smartphone,Electronics,194.86,2023-05-03,9,47,Miami
98,"Non-fiction Book",Books,182.24,2023-02-17,8,24,Miami
99,Shoes,Clothing,824.22,2023-03-23,9,327,Miami
100,Nightstand,Furniture,725.52,2023-06-05,2,43,"New York"
101,Doll,Toys,784.95,2023-01-16,1,50,"Los Angeles"
102,Headphones,Electronics,346.28,2023-04-03,6,30,Houston
103,Jeans,Clothing,364.09,2023-04-30,3,79,"New York"
104,Puzzle,Toys,297.57,2023-04-07,8,182,Chicago
105,Speaker,Electronics,818.59,2023-01-18,1,450,"Los Angeles"
106,Camera,Electronics,693.97,2023-06-11,4,135,"New York"
107,Headphones,Electronics,629.59,2023-06-06,5,359,"New York"
108,"Non-fiction Book",Books,364.56,2023-05-25,10,72,Miami
109,Jacket,Clothing,490.38,2023-04-24,7,267,Houston
110,Jeans,Clothing,398.10,2023-06-25,7,250,Chicago
111,"Fiction Book",Books,542.92,2023-03-05,2,329,Miami
112,Nightstand,Furniture,673.97,2023-04-25,2,442,Miami
113,Mouse,Electronics,398.37,2023-03-18,10,182,"New York"
